"Team","Match Up","Game Date","W/L","MIN","OffRtg","DefRtg","NetRtg","AST%","AST/TO","ASTRatio","OREB%","DREB%","REB%","TOV%","eFG%","TS%","PACE","PIE"
"LAL","LAL @ NOP","05/16/2021","W","48","110.0","99.0","11.0","66.7","3.00","20.8","27.8","79.1","50.5","10.0","52.6","53.6","99.50","56.0"
"MEM","MEM @ GSW","05/16/2021","L","48","101.0","114.1","-13.1","62.5","1.92","17.6","32.1","66.7","47.4","13.0","46.7","50.3","99.50","43.8"
"LAC","LAC @ OKC","05/16/2021","L","48","112.0","118.2","-6.2","37.8","5.67","12.5","30.6","64.6","45.5","3.0","47.2","49.7","99.50","45.1"
"DAL","DAL @ MIN","05/16/2021","L","48","122.2","137.4","-15.2","72.7","2.00","21.6","35.4","67.4","50.5","16.2","57.1","60.6","99.00","43.6"
"POR","POR vs. DEN","05/16/2021","W","48","136.1","118.4","17.7","52.2","1.71","17.6","34.1","74.5","56.6","14.4","63.2","67.0","97.50","58.2"
"CHA","CHA @ WAS","05/16/2021","L","48","105.8","112.7","-7.0","67.6","1.92","17.4","25.4","72.9","46.7","12.5","46.8","52.6","103.00","47.5"
"MIA","MIA @ DET","05/16/2021","W","48","122.4","110.3","12.1","68.1","2.67","23.4","23.1","75.5","52.3","12.2","63.7","64.7","97.50","61.4"
"CLE","CLE @ BKN","05/16/2021","L","48","110.1","125.5","-15.4","42.1","1.00","12.2","32.1","87.2","55.4","16.2","51.8","55.3","98.50","39.6"
"ATL","ATL vs. HOU","05/16/2021","W","48","120.4","93.1","27.3","65.3","2.46","21.5","29.8","75.0","55.9","12.6","58.3","61.1","102.50","67.8"
"DET","DET vs. MIA","05/16/2021","L","48","110.3","122.4","-12.1","65.0","1.63","19.3","24.5","76.9","47.7","16.5","52.9","55.9","97.50","38.6"
"HOU","HOU @ ATL","05/16/2021","L","48","93.1","120.4","-27.3","80.6","1.56","17.6","25.0","70.2","44.1","15.7","43.5","47.1","102.50","32.2"
"NYK","NYK vs. BOS","05/16/2021","W","48","103.2","98.9","4.3","47.1","1.45","13.8","15.2","73.6","46.5","11.8","51.3","54.9","93.00","53.3"
"NOP","NOP vs. LAL","05/16/2021","L","48","99.0","110.0","-11.0","70.3","1.24","19.4","20.9","72.2","49.5","21.2","53.2","56.2","99.50","44.0"
"CHI","CHI vs. MIL","05/16/2021","W","48","113.5","107.7","5.8","51.1","1.44","16.8","25.0","74.1","52.0","15.4","59.8","61.9","104.00","55.4"
"PHI","PHI vs. ORL","05/16/2021","W","48","123.1","112.5","10.6","76.1","2.92","23.5","19.6","74.4","44.7","11.5","59.0","61.5","104.00","53.9"
"WAS","WAS vs. CHA","05/16/2021","W","48","112.7","105.8","7.0","50.0","1.57","16.1","27.1","74.6","53.3","13.7","53.8","57.4","103.00","52.5"
"UTA","UTA @ SAC","05/16/2021","W","48","119.8","97.1","22.7","68.3","1.75","19.9","25.5","85.7","56.3","15.8","58.1","62.4","101.50","59.7"
"MIL","MIL @ CHI","05/16/2021","L","48","107.7","113.5","-5.8","36.8","1.17","10.6","25.9","75.0","48.0","11.5","48.9","53.8","104.00","44.6"
"MIN","MIN vs. DAL","05/16/2021","W","48","137.4","122.2","15.2","71.4","3.50","23.6","32.6","64.6","49.5","10.1","63.9","67.3","99.00","56.4"
