"Team","Match Up","Game Date","W/L","MIN","OffRtg","DefRtg","NetRtg","AST%","AST/TO","ASTRatio","OREB%","DREB%","REB%","TOV%","eFG%","TS%","PACE","PIE"
"DAL","DAL @ SAS","10/28/2014","L","48","116.3","117.4","-1.2","44.7","1.70","14.8","31.0","69.4","48.7","11.6","53.8","57.9","86.00","48.8"
"HOU","HOU @ LAL","10/28/2014","W","48","114.9","94.7","20.2","71.0","1.57","16.5","35.4","68.5","52.9","14.9","50.7","56.8","94.50","65.1"
"ORL","ORL @ NOP","10/28/2014","L","48","88.4","106.3","-17.9","53.1","0.94","13.2","32.7","59.2","47.6","18.9","40.5","45.0","95.00","40.3"
"LAL","LAL vs. HOU","10/28/2014","L","48","94.7","114.9","-20.2","57.1","1.23","12.7","31.5","64.6","47.1","13.7","37.3","46.8","94.50","34.9"
"NOP","NOP vs. ORL","10/28/2014","W","48","106.3","88.4","17.9","48.8","2.22","13.9","40.8","67.3","52.4","9.5","42.6","44.1","95.00","59.7"
"SAS","SAS vs. DAL","10/28/2014","W","48","117.4","116.3","1.2","62.2","1.10","19.2","30.6","69.0","51.3","24.4","62.9","65.6","86.00","51.2"
"WAS","WAS @ MIA","10/29/2014","L","48","103.3","116.3","-13.0","55.6","1.43","16.7","22.0","67.4","45.2","15.2","52.0","55.5","92.00","43.1"
"GSW","GSW @ SAC","10/29/2014","W","48","90.5","73.3","17.1","63.6","0.95","15.7","17.8","69.0","46.6","21.0","48.0","53.3","105.00","69.9"
"NYK","NYK vs. CHI","10/29/2014","L","48","89.9","116.9","-27.0","61.3","1.58","15.3","32.1","70.3","47.3","13.5","38.2","43.3","89.00","32.9"
"CHI","CHI @ NYK","10/29/2014","W","48","116.9","89.9","27.0","58.3","1.40","17.4","29.7","67.9","52.7","16.9","55.6","61.8","89.00","67.1"
"ATL","ATL @ TOR","10/29/2014","L","48","108.5","116.0","-7.4","65.0","1.37","19.5","28.3","61.4","46.6","20.2","58.1","58.3","94.00","45.3"
"MIN","MIN @ MEM","10/29/2014","L","48","104.1","109.4","-5.3","51.3","0.87","14.2","52.0","70.7","60.4","23.7","48.8","52.5","96.50","45.8"
"MIA","MIA vs. WAS","10/29/2014","W","48","116.3","103.3","13.0","51.3","1.43","16.1","32.6","78.0","54.8","15.2","53.7","58.7","92.00","56.9"
"UTA","UTA vs. HOU","10/29/2014","L","48","104.5","115.6","-11.1","42.1","1.14","13.3","34.1","64.9","48.1","15.7","48.8","52.6","89.50","46.9"
"IND","IND vs. PHI","10/29/2014","W","48","112.0","97.8","14.1","57.9","1.22","16.7","38.3","63.3","52.3","19.6","51.9","55.2","92.50","64.5"
"TOR","TOR vs. ATL","10/29/2014","W","48","116.0","108.5","7.4","70.3","2.60","18.4","38.6","71.7","53.4","10.6","45.6","52.1","94.00","54.7"
"PHI","PHI @ IND","10/29/2014","L","48","97.8","112.0","-14.1","50.0","1.55","13.0","36.7","61.7","47.7","11.8","41.6","44.5","92.50","35.5"
"SAC","SAC vs. GSW","10/29/2014","L","48","73.3","90.5","-17.1","54.2","0.48","9.6","31.0","82.2","53.4","25.7","32.7","41.2","105.00","30.1"
"DEN","DEN vs. DET","10/29/2014","W","48","93.7","82.3","11.4","56.7","1.13","12.9","33.9","71.9","52.6","15.8","38.8","45.1","95.50","61.5"
"CHA","CHA vs. MIL","10/29/2014","W","53","103.8","103.9","-0.1","65.9","2.08","17.4","40.6","90.2","60.0","12.5","43.6","47.5","93.28","48.2"
"BKN","BKN @ BOS","10/29/2014","L","48","104.0","119.8","-15.8","51.3","0.95","14.8","32.6","75.6","54.5","20.8","53.1","57.4","101.00","42.6"
"MEM","MEM vs. MIN","10/29/2014","W","48","109.4","104.1","5.3","48.8","1.24","16.4","29.3","48.0","39.6","17.7","54.9","57.8","96.50","54.2"
"LAL","LAL @ PHX","10/29/2014","L","48","107.6","128.0","-20.3","54.1","1.33","15.4","37.3","66.7","50.0","16.3","45.3","51.0","92.50","42.3"
"BOS","BOS vs. BKN","10/29/2014","W","48","119.8","104.0","15.8","57.1","2.15","20.0","24.4","67.4","45.5","12.9","60.2","61.7","101.00","57.4"
"OKC","OKC @ POR","10/29/2014","L","48","101.1","117.8","-16.6","57.6","1.27","15.2","36.0","61.5","49.0","17.0","42.0","48.1","89.00","39.5"
"PHX","PHX vs. LAL","10/29/2014","W","48","128.0","107.6","20.3","51.1","1.64","18.0","33.3","62.7","50.0","15.1","64.6","66.2","92.50","57.7"
"HOU","HOU @ UTA","10/29/2014","W","48","115.6","104.5","11.1","45.0","1.00","15.1","35.1","65.9","51.9","20.0","61.0","62.5","89.50","53.1"
"MIL","MIL @ CHA","10/29/2014","L","53","103.9","103.8","0.1","64.1","1.67","19.2","9.8","59.4","40.0","14.7","53.1","58.5","93.28","51.8"
"DET","DET @ DEN","10/29/2014","L","48","82.3","93.7","-11.4","48.4","0.94","12.0","28.1","66.1","47.4","16.7","40.5","42.8","95.50","38.5"
"POR","POR vs. OKC","10/29/2014","W","48","117.8","101.1","16.6","59.0","2.30","17.3","38.5","64.0","51.0","11.1","51.1","54.8","89.00","60.5"
"DAL","DAL vs. UTA","10/30/2014","W","48","129.0","110.9","18.2","53.2","2.78","18.9","37.5","67.3","53.9","9.7","60.0","63.1","92.50","62.2"
"CLE","CLE vs. NYK","10/30/2014","L","48","104.7","109.2","-4.5","68.8","1.16","18.2","32.5","67.6","48.6","22.1","52.1","57.1","86.50","45.0"
"NYK","NYK @ CLE","10/30/2014","W","48","109.2","104.7","4.5","81.1","1.67","23.4","32.4","67.5","51.4","20.7","58.0","61.8","86.50","55.0"
"ORL","ORL vs. WAS","10/30/2014","L","48","103.2","110.5","-7.4","54.1","1.11","16.5","17.9","77.8","50.0","18.9","55.6","59.4","95.00","45.3"
"WAS","WAS @ ORL","10/30/2014","W","48","110.5","103.2","7.4","56.4","1.83","17.5","22.2","82.1","50.0","12.6","53.1","57.4","95.00","54.7"
"DET","DET @ MIN","10/30/2014","L","48","101.1","106.6","-5.5","52.6","1.67","15.5","35.7","75.6","53.5","13.3","45.6","47.0","90.50","43.0"
"OKC","OKC @ LAC","10/30/2014","L","48","92.8","97.9","-5.1","82.1","0.85","17.7","34.2","73.7","57.9","27.8","47.7","56.3","96.00","57.0"
"LAC","LAC vs. OKC","10/30/2014","W","48","97.9","92.8","5.1","50.0","1.42","13.4","26.3","65.8","42.1","12.6","43.1","47.4","96.00","43.0"
"UTA","UTA @ DAL","10/30/2014","L","48","110.9","129.0","-18.2","61.1","1.38","16.9","32.7","62.5","46.1","17.4","51.8","56.1","92.50","37.8"
"MIN","MIN vs. DET","10/30/2014","W","48","106.6","101.1","5.5","48.6","1.50","15.0","24.4","64.3","46.5","13.2","51.3","54.9","90.50","57.0"
"LAL","LAL vs. LAC","10/31/2014","L","48","107.8","116.8","-9.1","57.1","1.71","17.6","22.7","84.2","51.2","13.6","55.5","58.8","102.00","44.5"
