"Team","Match Up","Game Date","W/L","MIN","OffRtg","DefRtg","NetRtg","AST%","AST/TO","ASTRatio","OREB%","DREB%","REB%","TOV%","eFG%","TS%","PACE","PIE"
"BOS","BOS vs. BKN","04/11/2018","W","48","107.8","95.1","12.7","47.8","1.57","15.0","39.7","77.2","58.3","13.7","48.0","50.6","102.00","54.1"
"MIN","MIN vs. DEN","04/11/2018","W","53","112.0","106.0","6.0","57.1","3.00","17.8","24.0","71.2","48.0","8.0","52.2","56.0","90.57","56.3"
"LAC","LAC vs. LAL","04/11/2018","L","48","97.1","112.7","-15.7","65.9","1.59","19.1","21.2","76.6","47.5","16.5","53.0","52.5","102.50","42.9"
"POR","POR vs. UTA","04/11/2018","W","48","104.1","95.9","8.2","46.3","1.90","15.1","19.2","69.5","45.9","10.2","51.1","53.1","97.50","56.6"
"NOP","NOP vs. SAS","04/11/2018","W","48","116.2","93.3","22.9","57.7","1.58","20.5","28.2","75.4","56.3","18.1","61.9","63.3","105.00","65.2"
"LAL","LAL @ LAC","04/11/2018","W","48","112.7","97.1","15.7","59.5","1.47","18.1","23.4","78.8","52.5","16.7","57.4","60.5","102.50","57.1"
"OKC","OKC vs. MEM","04/11/2018","W","48","131.7","118.3","13.5","68.1","2.29","22.1","22.0","77.1","51.7","13.5","67.1","69.1","104.00","55.8"
"CHI","CHI vs. DET","04/11/2018","L","48","89.7","122.7","-33.0","65.6","1.11","15.6","31.0","76.2","50.0","19.6","43.6","46.3","97.00","30.5"
"UTA","UTA @ POR","04/11/2018","L","48","95.9","104.1","-8.2","54.5","1.20","13.5","30.5","80.8","54.1","15.5","41.6","46.7","97.50","43.4"
"MIL","MIL @ PHI","04/11/2018","L","48","88.8","121.5","-32.7","59.5","1.10","15.6","22.6","66.1","45.0","18.7","45.0","48.9","107.00","32.9"
"PHI","PHI vs. MIL","04/11/2018","W","48","121.5","88.8","32.7","67.3","2.92","21.7","33.9","77.4","55.0","11.2","56.7","58.2","107.00","67.1"
