"Team","Match Up","Game Date","W/L","MIN","OffRtg","DefRtg","NetRtg","AST%","AST/TO","ASTRatio","OREB%","DREB%","REB%","TOV%","eFG%","TS%","PACE","PIE"
"CHI","CHI @ MIA","10/29/2013","L","48","96.9","108.1","-11.1","65.7","1.21","17.0","29.4","76.9","50.0","19.4","46.4","51.0","98.50","40.1"
"MIA","MIA vs. CHI","10/29/2013","W","48","108.1","96.9","11.1","70.3","1.30","19.5","23.1","70.6","50.0","20.2","59.0","63.1","98.50","59.9"
"LAC","LAC @ LAL","10/29/2013","L","48","105.1","117.2","-12.1","65.9","1.69","19.9","25.5","56.1","42.3","16.3","54.2","55.3","98.50","49.7"
"LAL","LAL vs. LAC","10/29/2013","W","48","117.2","105.1","12.1","54.8","1.21","15.8","43.9","74.5","57.7","19.2","52.7","55.1","98.50","50.3"
"IND","IND vs. ORL","10/29/2013","W","48","103.2","92.6","10.6","50.0","0.81","13.7","31.7","61.7","49.5","22.3","52.8","57.0","94.00","66.1"
"ORL","ORL @ IND","10/29/2013","L","48","92.6","103.2","-10.6","47.2","0.89","12.9","38.3","68.3","50.5","20.2","43.5","44.7","94.00","33.9"
"HOU","HOU vs. CHA","10/30/2013","W","48","105.5","90.2","15.3","47.2","0.89","13.7","37.0","71.2","56.2","20.9","53.3","55.5","91.50","64.3"
"DET","DET vs. WAS","10/30/2013","W","48","115.3","104.1","11.2","61.5","1.26","17.5","36.6","70.8","55.1","19.4","55.8","61.1","98.00","58.7"
"CHA","CHA @ HOU","10/30/2013","L","48","90.2","105.5","-15.3","42.4","1.75","11.6","28.8","63.0","43.8","8.7","38.9","42.0","91.50","35.7"
"PHX","PHX vs. POR","10/30/2013","W","48","108.3","96.8","11.5","41.9","1.20","14.3","33.3","76.9","57.4","15.6","54.2","57.2","95.00","59.0"
"SAS","SAS vs. MEM","10/30/2013","W","48","106.3","98.9","7.4","62.5","1.67","20.2","12.8","69.5","46.9","15.8","59.9","60.8","95.00","56.2"
"NYK","NYK vs. MIL","10/30/2013","W","48","95.7","88.3","7.4","47.2","0.77","14.3","22.9","73.2","50.0","23.4","52.8","57.3","94.00","58.9"
