"Team","Match Up","Game Date","W/L","MIN","OffRtg","DefRtg","NetRtg","AST%","AST/TO","ASTRatio","OREB%","DREB%","REB%","TOV%","eFG%","TS%","PACE","PIE"
"NOP","NOP @ MIN","04/09/2023","L","48","103.8","109.7","-5.9","45.0","1.20","13.0","30.8","77.6","53.5","14.4","46.1","52.5","103.50","48.7"
"MIL","MIL @ TOR","04/09/2023","L","48","104.0","119.8","-15.8","73.7","2.00","20.6","15.2","76.6","46.2","13.9","53.7","57.5","101.00","44.4"
"PHX","PHX vs. LAC","04/09/2023","L","48","110.7","116.7","-6.0","69.0","4.14","19.6","27.1","67.9","47.0","6.8","49.5","52.4","102.50","48.3"
"MIN","MIN vs. NOP","04/09/2023","W","48","109.7","103.8","5.9","64.1","1.47","18.1","22.4","69.2","46.5","16.5","55.5","59.1","103.50","51.3"
"DEN","DEN vs. SAC","04/09/2023","W","48","112.4","99.0","13.4","59.5","1.25","17.5","45.7","76.0","61.5","20.6","54.2","57.4","96.50","59.4"
"CLE","CLE vs. CHA","04/09/2023","L","48","94.1","105.0","-10.9","77.1","1.69","19.1","24.1","71.7","46.0","15.8","44.9","49.5","101.00","42.9"
"HOU","HOU @ WAS","04/09/2023","W","48","107.5","103.8","3.7","54.5","1.60","16.8","25.0","72.4","50.0","14.2","52.2","55.7","105.50","53.2"
"IND","IND @ NYK","04/09/2023","W","48","127.0","122.5","4.5","71.7","2.20","21.6","19.6","63.3","44.3","13.5","62.4","66.7","111.00","53.1"
"PHI","PHI @ BKN","04/09/2023","W","48","127.6","101.0","26.7","58.5","2.38","20.3","35.3","78.0","56.4","12.4","59.4","61.3","104.50","62.6"
"LAL","LAL vs. UTA","04/09/2023","W","48","121.9","110.4","11.5","59.6","2.55","19.2","25.0","80.4","52.4","10.5","57.7","60.2","105.50","53.0"
"CHI","CHI vs. DET","04/09/2023","W","48","104.0","81.8","22.2","52.5","5.25","15.9","21.1","67.3","43.8","4.0","45.3","49.2","99.00","64.8"
"SAC","SAC @ DEN","04/09/2023","L","48","99.0","112.4","-13.4","64.9","1.60","18.2","24.0","54.3","38.5","15.6","50.0","51.9","96.50","40.6"
"MEM","MEM @ OKC","04/09/2023","L","48","98.0","113.9","-15.8","62.5","2.08","18.0","21.8","72.3","45.1","11.8","47.3","50.0","101.50","43.2"
"SAS","SAS @ DAL","04/09/2023","W","48","123.2","103.5","19.7","60.8","2.58","19.5","28.1","86.2","59.0","10.7","56.3","58.9","112.50","60.3"
"ATL","ATL @ BOS","04/09/2023","L","48","116.3","122.4","-6.1","61.4","3.00","19.0","31.5","70.8","50.0","9.2","51.0","54.1","98.00","49.2"
"DAL","DAL vs. SAS","04/09/2023","L","48","103.5","123.2","-19.7","60.9","7.00","18.7","13.8","71.9","41.0","3.5","50.5","50.9","112.50","39.7"
