"Team","Match Up","Game Date","W/L","MIN","OffRtg","DefRtg","NetRtg","AST%","AST/TO","ASTRatio","OREB%","DREB%","REB%","TOV%","eFG%","TS%","PACE","PIE"
"BOS","BOS @ NYK","12/25/2011","L","48","110.6","112.8","-2.1","71.8","1.47","20.3","41.5","69.8","56.0","20.2","52.6","58.0","94.00","52.3"
"MIA","MIA @ DAL","12/25/2011","W","48","105.0","94.0","11.0","47.4","0.78","13.4","37.2","77.4","59.4","23.0","51.3","55.9","100.00","60.5"
"OKC","OKC vs. ORL","12/25/2011","W","48","104.3","94.7","9.6","61.8","1.24","17.2","19.0","69.1","47.4","18.3","54.2","58.1","93.50","60.4"
"GSW","GSW vs. LAC","12/25/2011","L","48","92.5","112.9","-20.4","53.1","1.06","13.4","35.3","64.7","50.0","17.2","42.1","46.5","93.00","34.0"
"NYK","NYK vs. BOS","12/25/2011","W","48","112.8","110.6","2.1","48.6","1.06","13.8","30.2","58.5","44.0","17.0","53.4","59.6","94.00","47.7"
"DAL","DAL vs. MIA","12/25/2011","L","48","94.0","105.0","-11.0","74.2","1.35","17.2","22.6","62.8","40.6","17.0","43.3","49.4","100.00","39.5"
"ORL","ORL @ OKC","12/25/2011","L","48","94.7","104.3","-9.6","60.0","1.00","14.1","30.9","81.0","52.6","19.1","42.0","48.1","93.50","39.6"
"LAL","LAL vs. CHI","12/25/2011","L","48","98.9","101.1","-2.3","61.1","1.29","17.7","38.6","60.0","50.5","19.3","50.0","51.3","87.50","51.5"
"CHI","CHI @ LAL","12/25/2011","W","48","101.1","98.9","2.3","58.3","1.50","16.3","40.0","61.4","49.5","16.1","44.4","46.2","87.50","48.5"
"LAC","LAC @ GSW","12/25/2011","W","48","112.9","92.5","20.4","59.5","2.20","16.7","35.3","64.7","50.0","10.8","50.6","53.7","93.00","66.0"
"MEM","MEM @ SAS","12/26/2011","L","48","88.2","101.1","-12.9","52.9","0.72","14.5","34.1","67.9","53.6","26.9","48.6","50.4","93.50","41.4"
"MIN","MIN vs. OKC","12/26/2011","L","48","100.0","106.1","-6.1","56.4","1.83","16.4","28.8","77.8","51.5","12.0","46.6","50.8","99.00","46.9"
"WAS","WAS vs. NJN","12/26/2011","L","48","92.3","96.8","-4.5","41.9","1.08","11.5","17.0","63.0","40.2","13.2","42.6","47.2","92.00","46.8"
"DAL","DAL vs. DEN","12/26/2011","L","48","90.3","113.9","-23.6","59.4","0.95","14.6","19.1","77.8","47.8","19.4","47.4","52.9","102.00","35.4"
"MIL","MIL @ CHA","12/26/2011","L","48","102.2","102.1","0.0","61.8","1.75","16.5","25.0","63.3","43.6","12.9","45.2","50.5","93.50","46.0"
"CHI","CHI @ GSW","12/26/2011","L","48","95.8","103.1","-7.3","47.1","0.80","12.5","36.0","79.5","56.4","21.1","46.3","49.6","95.50","37.1"
"IND","IND vs. DET","12/26/2011","W","48","101.1","88.8","12.3","62.5","1.82","15.2","40.4","74.0","56.1","12.2","40.8","46.4","89.50","58.7"
"SAS","SAS vs. MEM","12/26/2011","W","48","101.1","88.2","12.9","65.7","1.77","17.2","32.1","65.9","46.4","13.8","45.5","48.6","93.50","58.6"
