"Team","Match Up","Game Date","W/L","MIN","OffRtg","DefRtg","NetRtg","AST%","AST/TO","ASTRatio","OREB%","DREB%","REB%","TOV%","eFG%","TS%","PACE","PIE"
"POR","POR vs. SAC","04/10/2019","W","48","137.4","131.0","6.4","35.8","1.46","14.2","39.0","66.0","53.4","13.1","65.9","67.5","99.50","52.0"
"SAS","SAS vs. DAL","04/10/2019","W","48","108.2","95.9","12.3","53.7","2.00","16.9","22.9","83.9","55.8","11.3","51.1","54.7","97.50","56.4"
"MIL","MIL vs. OKC","04/10/2019","L","48","105.5","114.4","-9.0","62.8","1.80","17.8","25.0","83.3","52.6","13.6","50.5","53.1","110.50","44.0"
"MIN","MIN @ DEN","04/10/2019","L","48","99.0","103.1","-4.2","61.5","2.40","18.6","16.7","74.5","44.8","10.4","50.0","50.7","96.00","43.8"
"CHA","CHA vs. ORL","04/10/2019","L","48","122.6","131.2","-8.6","51.2","2.63","17.6","18.4","71.4","46.3","8.6","57.7","63.4","93.00","48.1"
"SAC","SAC @ POR","04/10/2019","L","48","131.0","137.4","-6.4","50.0","2.50","17.9","34.0","61.0","46.6","10.0","61.5","63.6","99.50","48.0"
"PHI","PHI vs. CHI","04/10/2019","W","48","130.2","113.5","16.7","57.7","4.29","21.7","26.7","72.2","51.5","7.3","62.4","62.8","96.00","60.1"
"MEM","MEM vs. GSW","04/10/2019","W","48","130.7","115.8","14.9","52.1","2.27","17.5","34.6","74.5","53.5","10.9","59.7","62.3","101.00","53.3"
"NYK","NYK vs. DET","04/10/2019","L","48","93.7","118.6","-24.9","74.2","2.09","18.9","7.8","68.9","36.5","11.6","46.1","50.6","96.00","38.4"
"LAC","LAC vs. UTA","04/10/2019","W","53","119.2","115.1","4.0","63.0","2.83","20.2","25.0","66.1","46.6","10.0","56.6","60.0","108.23","51.6"
"DAL","DAL @ SAS","04/10/2019","L","48","95.9","108.2","-12.3","73.0","3.86","20.3","16.1","77.1","44.2","7.1","46.7","48.8","97.50","43.6"
"DET","DET @ NYK","04/10/2019","W","48","118.6","93.7","24.9","61.0","1.79","18.4","31.1","92.2","63.5","14.4","56.5","61.3","96.00","61.6"
"UTA","UTA @ LAC","04/10/2019","L","53","115.1","119.2","-4.0","66.0","1.82","18.1","33.9","75.0","53.4","14.3","50.9","56.8","108.23","48.4"
"GSW","GSW @ MEM","04/10/2019","L","48","115.8","130.7","-14.9","69.6","2.29","22.4","25.5","65.4","46.5","13.9","57.1","59.6","101.00","46.7"
"ATL","ATL vs. IND","04/10/2019","L","48","122.9","125.0","-2.1","67.4","1.71","17.5","46.9","71.4","58.3","15.6","50.0","56.0","108.50","49.7"
"DEN","DEN vs. MIN","04/10/2019","W","48","103.1","99.0","4.2","59.0","1.77","17.4","25.5","83.3","55.2","13.5","50.6","52.4","96.00","56.2"
"MIA","MIA @ BKN","04/10/2019","L","48","87.0","104.6","-17.6","57.9","1.47","15.6","18.8","69.4","45.6","13.9","42.9","44.9","108.00","43.3"
"IND","IND @ ATL","04/10/2019","W","48","125.0","122.9","2.1","48.9","2.75","15.1","28.6","53.1","41.7","7.4","52.0","58.6","108.50","50.3"
"ORL","ORL @ CHA","04/10/2019","W","48","131.2","122.6","8.6","50.0","4.00","18.8","28.6","81.6","53.8","6.5","60.8","63.0","93.00","51.9"
"BKN","BKN vs. MIA","04/10/2019","W","48","104.6","87.0","17.6","67.4","2.42","18.2","30.6","81.3","54.4","11.1","46.9","48.3","108.00","56.7"
"OKC","OKC @ MIL","04/10/2019","W","48","114.4","105.5","9.0","83.3","3.08","25.0","16.7","75.0","47.4","11.7","60.1","60.6","110.50","56.0"
"CHI","CHI @ PHI","04/10/2019","L","48","113.5","130.2","-16.7","46.7","2.63","15.9","27.8","73.3","48.5","8.3","52.1","53.6","96.00","39.9"
"CHI","CHI vs. NYK","04/09/2019","L","48","89.6","99.0","-9.4","46.7","2.00","11.8","15.0","78.0","46.2","7.3","40.4","44.9","96.50","43.7"
"HOU","HOU @ OKC","04/09/2019","L","48","115.6","116.7","-1.0","47.4","1.64","14.5","20.8","61.4","41.8","11.5","53.4","57.3","96.00","49.5"
"NOP","NOP vs. GSW","04/09/2019","L","48","99.0","108.7","-9.7","65.9","2.90","20.3","17.2","77.6","44.9","9.6","49.0","49.8","103.50","45.7"
"PHX","PHX @ DAL","04/09/2019","L","48","102.8","113.2","-10.4","55.3","1.50","15.4","15.8","63.6","39.3","13.2","50.6","54.3","106.00","44.1"
"WAS","WAS vs. BOS","04/09/2019","L","48","104.8","111.5","-6.8","68.3","1.87","18.7","31.6","78.0","55.2","14.3","49.5","52.4","104.50","47.8"
"PHI","PHI @ MIA","04/09/2019","L","48","95.2","116.2","-21.0","55.0","1.47","15.3","31.0","79.5","52.0","14.4","43.4","47.1","104.50","39.1"
"DAL","DAL vs. PHX","04/09/2019","W","48","113.2","102.8","10.4","68.3","1.27","18.2","36.4","84.2","60.7","20.8","53.8","58.3","106.00","55.9"
"DET","DET vs. MEM","04/09/2019","W","48","108.7","101.1","7.6","45.7","1.78","12.6","32.8","70.3","47.4","9.8","45.5","49.8","92.00","50.2"
"MEM","MEM @ DET","04/09/2019","L","48","101.1","108.7","-7.6","57.6","0.86","15.6","29.7","67.2","52.6","23.9","55.1","59.4","92.00","49.8"
"MIA","MIA vs. PHI","04/09/2019","W","48","116.2","95.2","21.0","63.0","1.93","20.3","20.5","69.0","48.0","14.3","60.3","62.8","104.50","60.9"
"CHA","CHA @ CLE","04/09/2019","W","48","134.8","105.4","29.3","77.8","3.50","26.1","19.4","69.4","48.2","10.9","71.8","72.5","92.00","65.5"
"NYK","NYK @ CHI","04/09/2019","W","48","99.0","89.6","9.4","45.9","1.89","13.5","22.0","85.0","53.8","9.3","47.3","48.6","96.50","56.3"
"BOS","BOS @ WAS","04/09/2019","W","48","111.5","104.8","6.8","60.0","4.50","18.8","22.0","68.4","44.8","5.8","53.0","53.2","104.50","52.2"
"MIN","MIN vs. TOR","04/09/2019","L","48","97.1","116.5","-19.4","68.4","2.17","19.0","14.3","72.1","39.4","11.7","48.9","51.5","103.00","41.6"
"POR","POR @ LAL","04/09/2019","W","48","105.1","102.0","3.0","48.6","1.29","13.5","29.6","60.7","45.5","14.1","47.2","52.2","99.00","51.4"
"GSW","GSW @ NOP","04/09/2019","W","48","108.7","99.0","9.7","58.1","1.67","18.0","22.4","82.8","55.1","14.6","55.1","57.0","103.50","54.3"
"DEN","DEN @ UTA","04/09/2019","L","48","110.2","119.2","-9.0","58.5","3.43","18.6","15.7","71.8","40.0","7.1","53.4","55.3","98.50","42.3"
"TOR","TOR @ MIN","04/09/2019","W","48","116.5","97.1","19.4","52.2","1.33","17.4","27.9","85.7","60.6","17.5","61.4","62.8","103.00","58.4"
"OKC","OKC vs. HOU","04/09/2019","W","48","116.7","115.6","1.0","50.0","1.67","14.5","38.6","79.2","58.2","12.5","50.0","53.4","96.00","50.5"
"LAL","LAL vs. POR","04/09/2019","L","48","102.0","105.1","-3.0","72.5","1.71","19.5","39.3","70.4","54.5","17.2","47.9","49.8","99.00","48.6"
"CLE","CLE vs. CHA","04/09/2019","L","48","105.4","134.8","-29.3","60.0","1.71","18.3","30.6","80.6","51.8","15.2","51.1","52.4","92.00","34.5"
"UTA","UTA vs. DEN","04/09/2019","W","48","119.2","110.2","9.0","58.5","1.60","17.9","28.2","84.3","60.0","15.2","59.0","63.5","98.50","57.7"
"SAS","SAS @ CLE","04/07/2019","W","48","114.3","91.8","22.4","62.8","1.50","19.7","31.7","74.5","55.4","18.4","57.9","61.1","98.00","65.2"
"DAL","DAL @ MEM","04/07/2019","W","53","118.3","116.5","1.8","68.9","4.43","20.4","23.2","74.1","49.1","6.4","52.0","57.1","98.72","50.4"
"ATL","ATL @ MIL","04/07/2019","L","48","99.1","106.5","-7.4","62.5","2.27","17.4","18.8","76.8","45.8","10.2","48.5","49.4","108.00","40.0"
"BKN","BKN @ IND","04/07/2019","W","48","111.3","99.0","12.4","57.5","1.44","16.7","34.6","87.0","59.2","16.5","51.7","55.3","97.00","55.0"
"MIL","MIL vs. ATL","04/07/2019","W","48","106.5","99.1","7.4","47.5","1.36","13.7","23.2","81.3","54.2","13.0","48.9","54.3","108.00","60.0"
"PHX","PHX @ HOU","04/07/2019","L","48","106.6","140.6","-34.0","60.5","2.00","18.2","21.2","72.5","46.6","12.3","52.2","55.3","106.00","37.3"
"UTA","UTA @ LAL","04/07/2019","L","48","112.4","116.5","-4.1","65.8","2.27","18.5","27.1","55.6","40.9","11.3","53.0","56.6","97.00","48.3"
"GSW","GSW vs. LAC","04/07/2019","W","48","123.6","98.1","25.5","64.2","3.09","22.5","23.9","81.3","53.2","10.4","60.8","63.2","106.00","64.7"
"CHA","CHA @ DET","04/07/2019","W","48","116.9","101.1","15.7","60.5","3.29","18.0","29.6","66.1","48.7","7.9","48.9","53.0","89.50","56.3"
"SAC","SAC vs. NOP","04/07/2019","L","48","119.4","125.5","-6.0","54.0","4.50","17.6","31.1","67.3","47.3","5.6","53.2","55.4","107.00","48.0"
"OKC","OKC @ MIN","04/07/2019","W","48","128.2","123.5","4.6","56.3","1.93","18.5","35.6","79.1","56.8","13.6","59.8","63.8","102.50","49.9"
"NOP","NOP @ SAC","04/07/2019","W","48","125.5","119.4","6.0","53.8","1.75","18.7","32.7","68.9","52.7","15.1","60.9","62.6","107.00","52.0"
"NYK","NYK vs. WAS","04/07/2019","W","48","115.3","112.2","3.1","58.5","1.60","18.6","20.0","62.3","45.5","15.3","61.9","63.9","98.00","53.4"
"LAL","LAL vs. UTA","04/07/2019","W","48","116.5","112.4","4.1","60.9","1.65","19.3","44.4","72.9","59.1","17.5","55.6","57.5","97.00","51.7"
"DEN","DEN @ POR","04/07/2019","L","48","104.9","111.7","-6.8","57.1","2.18","17.1","22.4","65.3","42.1","10.7","51.1","52.0","103.00","42.3"
"CLE","CLE vs. SAS","04/07/2019","L","48","91.8","114.3","-22.4","51.6","0.89","12.8","25.5","68.3","44.6","18.4","44.3","49.5","98.00","34.8"
"MIN","MIN vs. OKC","04/07/2019","L","48","123.5","128.2","-4.6","63.0","2.23","20.9","20.9","64.4","43.2","12.7","60.0","64.4","102.50","50.1"
"WAS","WAS @ NYK","04/07/2019","L","48","112.2","115.3","-3.1","55.8","2.67","16.7","37.7","80.0","54.5","9.2","46.6","49.6","98.00","46.6"
"IND","IND vs. BKN","04/07/2019","L","48","99.0","111.3","-12.4","65.9","2.08","20.9","13.0","65.4","40.8","13.4","54.1","54.5","97.00","45.0"
"MEM","MEM vs. DAL","04/07/2019","L","53","116.5","118.3","-1.8","76.2","3.56","20.5","25.9","76.8","50.9","8.3","52.6","57.6","98.72","49.6"
"BOS","BOS vs. ORL","04/07/2019","L","48","104.9","112.6","-7.8","66.7","2.00","20.0","18.8","71.4","45.4","13.6","53.9","56.7","103.00","46.1"
"TOR","TOR vs. MIA","04/07/2019","W","53","109.3","102.8","6.5","66.7","2.36","18.7","14.0","74.2","47.3","10.3","54.0","59.2","96.45","55.8"
"MIA","MIA @ TOR","04/07/2019","L","53","102.8","109.3","-6.5","65.9","2.25","18.2","25.8","86.0","52.7","11.3","47.5","50.3","96.45","44.2"
"POR","POR vs. DEN","04/07/2019","W","48","111.7","104.9","6.8","53.7","1.38","15.5","34.7","77.6","57.9","15.5","51.1","56.5","103.00","57.7"
"ORL","ORL @ BOS","04/07/2019","W","48","112.6","104.9","7.8","70.7","1.81","19.9","28.6","81.3","54.6","15.5","52.2","58.2","103.00","53.9"
"DET","DET vs. CHA","04/07/2019","L","48","101.1","116.9","-15.7","58.8","2.22","15.4","33.9","70.4","51.3","10.0","42.4","46.1","89.50","43.7"
"LAC","LAC @ GSW","04/07/2019","L","48","98.1","123.6","-25.5","68.4","1.30","18.6","18.8","76.1","46.8","18.9","54.4","56.7","106.00","35.3"
"HOU","HOU vs. PHX","04/07/2019","W","48","140.6","106.6","34.0","64.2","3.78","22.1","27.5","78.8","53.4","8.5","66.5","68.2","106.00","62.7"
"PHI","PHI @ CHI","04/06/2019","W","48","119.6","99.0","20.6","54.3","2.50","18.5","29.8","84.6","58.6","10.3","57.4","58.3","97.00","62.0"
"CHI","CHI vs. PHI","04/06/2019","L","48","99.0","119.6","-20.6","57.9","2.75","17.3","15.4","70.2","41.4","8.2","47.2","50.2","97.00","38.0"
"MIL","MIL vs. BKN","04/06/2019","L","48","124.3","129.1","-4.9","57.1","2.00","20.0","23.8","72.2","51.0","13.6","64.8","65.8","103.00","51.6"
"BKN","BKN @ MIL","04/06/2019","W","48","129.1","124.3","4.9","52.1","2.50","17.5","27.8","76.2","49.0","9.7","59.3","62.1","103.00","48.4"
"LAC","LAC vs. LAL","04/05/2019","L","48","108.3","110.9","-2.6","72.5","2.23","19.7","19.2","69.6","45.4","12.0","49.5","55.9","109.00","48.5"
"CHA","CHA vs. TOR","04/05/2019","W","48","118.9","116.8","2.1","63.6","4.00","21.2","19.6","80.0","46.2","7.4","53.7","56.4","95.00","49.3"
"MEM","MEM @ DAL","04/05/2019","W","48","122.0","112.0","10.0","65.2","3.00","20.7","30.0","74.1","53.7","10.0","56.3","59.2","100.00","56.4"
"SAC","SAC @ UTA","04/05/2019","L","48","93.3","112.3","-18.9","44.7","0.94","12.3","30.4","80.0","52.5","17.1","44.0","47.6","105.50","35.2"
"CLE","CLE @ GSW","04/05/2019","L","48","112.9","121.2","-8.3","48.8","3.00","15.0","32.7","90.2","57.3","6.9","47.9","53.2","100.00","49.2"
"UTA","UTA vs. SAC","04/05/2019","W","48","112.3","93.3","18.9","68.2","1.88","20.8","20.0","69.6","47.5","15.1","60.6","62.0","105.50","64.8"
"IND","IND vs. BOS","04/05/2019","L","48","99.0","117.0","-18.0","63.2","2.18","17.8","22.4","76.1","46.2","11.2","46.7","48.3","99.00","38.4"
"HOU","HOU vs. NYK","04/05/2019","W","48","113.2","91.4","21.8","60.5","4.33","18.3","18.3","86.3","49.5","5.7","53.5","55.3","105.50","56.2"
"NOP","NOP @ PHX","04/05/2019","L","53","120.0","123.1","-3.1","57.1","1.87","18.1","38.6","69.1","53.6","14.3","52.5","55.8","96.45","45.0"
"ORL","ORL vs. ATL","04/05/2019","W","48","134.2","102.7","31.5","62.5","1.84","22.4","27.5","79.3","58.2","17.1","70.7","72.3","110.50","65.0"
"NYK","NYK @ HOU","04/05/2019","L","48","91.4","113.2","-21.8","59.5","1.38","16.4","13.7","81.7","50.5","15.2","48.8","51.1","105.50","43.8"
"LAL","LAL @ LAC","04/05/2019","W","48","110.9","108.3","2.6","65.1","2.00","18.1","30.4","80.8","54.6","12.7","52.1","56.5","109.00","51.5"
"DET","DET @ OKC","04/05/2019","L","48","106.8","119.4","-12.6","57.1","1.43","15.4","14.6","53.6","35.6","13.6","52.5","58.1","103.00","43.0"
"PHX","PHX vs. NOP","04/05/2019","W","53","123.1","120.0","3.1","52.9","3.86","17.8","30.9","61.4","46.4","6.5","55.8","58.7","96.45","55.0"
"ATL","ATL @ ORL","04/05/2019","L","48","102.7","134.2","-31.5","51.2","1.50","14.7","20.7","72.5","41.8","12.7","48.9","52.5","110.50","35.0"
"BOS","BOS @ IND","04/05/2019","W","48","117.0","99.0","18.0","56.3","2.45","19.7","23.9","77.6","53.8","11.0","56.0","59.1","99.00","61.6"
"SAS","SAS @ WAS","04/05/2019","W","48","134.4","116.7","17.7","66.7","3.78","23.6","34.1","71.7","54.0","9.4","61.5","64.6","96.00","59.2"
