"Team","Match Up","Game Date","W/L","MIN","OffRtg","DefRtg","NetRtg","AST%","AST/TO","ASTRatio","OREB%","DREB%","REB%","TOV%","eFG%","TS%","PACE","PIE"
"MIL","MIL @ ORL","04/14/2024","L","48","92.6","120.2","-27.6","53.3","0.94","13.3","20.0","65.9","42.7","17.9","44.7","51.7","94.50","35.5"
"MIA","MIA vs. TOR","04/14/2024","W","48","116.8","104.0","12.8","63.0","1.53","20.1","33.3","64.8","51.0","18.8","58.0","61.9","100.00","63.1"
"BOS","BOS vs. WAS","04/14/2024","W","48","124.5","116.2","8.3","56.9","1.71","19.7","28.6","74.1","54.2","16.0","66.3","67.2","105.50","55.8"
"CLE","CLE vs. CHA","04/14/2024","L","48","113.4","123.7","-10.3","68.2","2.14","21.4","26.9","75.6","49.5","14.4","55.9","56.7","97.00","42.7"
"SAS","SAS vs. DET","04/14/2024","W","48","123.0","94.1","28.9","67.3","2.36","22.8","27.3","72.4","52.9","14.0","62.1","63.3","100.50","65.9"
"PHI","PHI vs. BKN","04/14/2024","W","48","107.0","86.9","20.1","73.2","2.14","20.1","32.8","88.7","59.5","14.0","50.0","52.1","99.50","59.7"
"CHA","CHA @ CLE","04/14/2024","W","48","123.7","113.4","10.3","78.3","3.60","25.2","24.4","73.1","50.5","10.3","61.0","62.6","97.00","57.3"
"LAL","LAL @ NOP","04/14/2024","W","48","122.8","105.9","16.9","66.7","2.13","22.7","23.1","76.6","52.3","14.9","61.5","65.3","101.50","59.7"
"DET","DET @ SAS","04/14/2024","L","48","94.1","123.0","-28.9","47.2","1.21","12.7","27.6","72.7","47.1","13.9","43.5","47.1","100.50","34.1"
"IND","IND vs. ATL","04/14/2024","W","48","146.7","107.5","39.3","63.1","2.56","25.6","33.3","74.5","57.5","15.0","74.5","75.2","107.00","64.9"
"MEM","MEM vs. DEN","04/14/2024","L","48","107.8","122.3","-14.6","48.9","1.69","15.4","33.3","60.9","45.6","12.6","49.0","51.4","103.00","39.5"
"CHI","CHI @ NYK","04/14/2024","L","53","114.4","114.3","0.1","51.0","2.08","17.4","29.6","60.4","44.1","11.5","52.5","55.1","94.64","48.9"
"GSW","GSW vs. UTA","04/14/2024","W","48","123.0","116.0","7.0","77.8","3.89","23.3","29.4","66.7","47.5","9.0","55.3","59.1","100.00","57.1"
"WAS","WAS @ BOS","04/14/2024","L","48","116.2","124.5","-8.3","67.3","2.75","21.7","25.9","71.4","45.8","11.4","54.4","56.8","105.50","44.2"
"UTA","UTA @ GSW","04/14/2024","L","48","116.0","123.0","-7.0","47.8","1.10","15.9","33.3","70.6","52.5","20.0","59.6","60.4","100.00","42.9"
"ORL","ORL vs. MIL","04/14/2024","W","48","120.2","92.6","27.6","64.3","1.93","19.9","34.1","80.0","57.3","14.9","55.9","60.5","94.50","64.5"
"HOU","HOU @ LAC","04/14/2024","W","48","108.4","98.1","10.3","62.0","1.72","19.5","36.2","71.4","54.5","16.8","53.9","53.1","107.00","54.4"
"ATL","ATL @ IND","04/14/2024","L","48","107.5","146.7","-39.3","64.1","1.47","17.2","25.5","66.7","42.5","15.9","50.6","57.0","107.00","35.1"
"TOR","TOR @ MIA","04/14/2024","L","48","104.0","116.8","-12.8","60.5","1.21","16.3","35.2","66.7","49.0","19.2","47.2","51.9","100.00","36.9"
"DEN","DEN @ MEM","04/14/2024","W","48","122.3","107.8","14.6","69.6","1.78","21.1","39.1","66.7","54.4","17.5","58.4","62.7","103.00","60.5"
