"Team","Match Up","Game Date","W/L","MIN","OffRtg","DefRtg","NetRtg","AST%","AST/TO","ASTRatio","OREB%","DREB%","REB%","TOV%","eFG%","TS%","PACE","PIE"
"MIN","MIN @ HOU","04/12/2017","L","48","116.8","121.8","-5.0","77.1","2.47","24.7","27.7","69.6","50.5","14.9","58.8","60.5","101.00","50.2"
"MIL","MIL @ BOS","04/12/2017","L","48","97.9","115.5","-17.5","70.3","1.53","19.5","25.0","70.4","49.0","17.7","47.6","51.4","96.50","41.7"
"PHI","PHI @ NYK","04/12/2017","L","48","116.5","118.8","-2.3","45.7","1.62","15.2","42.0","58.3","50.0","13.4","53.2","55.5","96.50","49.7"
"SAC","SAC @ LAC","04/12/2017","L","48","105.6","127.8","-22.2","67.5","2.45","21.4","22.7","71.4","46.5","12.2","52.5","54.5","90.00","40.9"
"WAS","WAS @ MIA","04/12/2017","L","48","107.4","114.6","-7.2","42.9","1.64","14.8","21.3","62.8","41.1","11.6","52.3","54.7","95.50","46.0"
"LAC","LAC vs. SAC","04/12/2017","W","48","127.8","105.6","22.2","67.4","4.83","22.1","28.6","77.3","53.5","6.7","57.8","61.2","90.00","59.1"
"SAS","SAS @ UTA","04/12/2017","L","48","104.3","111.0","-6.7","41.0","1.07","12.8","35.4","72.5","52.3","16.1","50.0","52.9","92.00","46.4"
"ORL","ORL vs. DET","04/12/2017","W","48","111.9","109.0","2.9","64.3","2.45","20.0","17.8","66.7","47.9","10.9","55.7","59.8","100.50","59.5"
"OKC","OKC vs. DEN","04/12/2017","L","48","97.2","103.7","-6.5","46.5","1.67","14.0","26.7","79.6","50.5","11.1","46.5","48.4","107.50","46.0"
"DAL","DAL @ MEM","04/12/2017","W","48","111.1","104.5","6.6","63.6","1.75","17.1","28.3","60.4","45.5","13.3","50.0","56.4","89.50","56.9"
"POR","POR vs. NOP","04/12/2017","L","48","102.0","104.0","-2.0","53.7","0.88","16.2","34.7","75.9","56.3","25.5","55.9","55.1","98.50","46.4"
"CLE","CLE vs. TOR","04/12/2017","L","48","91.2","107.7","-16.5","71.4","1.33","16.5","21.6","70.8","45.5","16.5","43.4","47.9","91.00","42.3"
"IND","IND vs. ATL","04/12/2017","W","48","115.6","94.5","21.1","53.8","2.10","17.2","25.0","75.6","50.6","11.1","53.7","57.5","90.50","61.1"
"NOP","NOP @ POR","04/12/2017","W","48","104.0","102.0","2.0","50.0","1.82","15.3","24.1","65.3","43.7","11.1","48.9","51.9","98.50","53.6"
"TOR","TOR @ CLE","04/12/2017","W","48","107.7","91.2","16.5","50.0","2.22","16.1","29.2","78.4","54.5","9.9","51.2","52.7","91.00","57.7"
"CHI","CHI vs. BKN","04/12/2017","W","48","107.7","70.2","37.5","68.3","2.15","19.0","27.8","78.7","54.8","12.5","50.5","53.7","104.00","72.8"
"UTA","UTA vs. SAS","04/12/2017","W","48","111.0","104.3","6.7","61.5","1.41","19.0","27.5","64.6","47.7","18.7","57.1","58.9","92.00","53.6"
"GSW","GSW vs. LAL","04/12/2017","W","48","103.8","90.4","13.4","63.4","1.24","17.6","35.8","78.2","57.4","20.0","52.2","54.7","104.50","61.1"
"MIA","MIA vs. WAS","04/12/2017","W","48","114.6","107.4","7.2","41.3","1.06","14.7","37.2","78.7","58.9","18.8","56.8","59.0","95.50","54.0"
"DEN","DEN @ OKC","04/12/2017","W","48","103.7","97.2","6.5","56.4","1.29","15.9","20.4","73.3","49.5","15.9","50.0","56.0","107.50","54.0"
"NYK","NYK vs. PHI","04/12/2017","W","48","118.8","116.5","2.3","41.5","0.89","12.8","41.7","58.0","50.0","19.8","54.8","58.7","96.50","50.3"
"DET","DET @ ORL","04/12/2017","L","48","109.0","111.9","-2.9","48.8","2.50","13.9","33.3","82.2","52.1","8.0","43.9","46.1","100.50","40.5"
"BKN","BKN @ CHI","04/12/2017","L","48","70.2","107.7","-37.5","60.7","0.89","12.7","21.3","72.2","45.2","18.3","34.3","38.9","104.00","27.2"
"MEM","MEM vs. DAL","04/12/2017","L","48","104.5","111.1","-6.6","54.5","1.20","14.2","39.6","71.7","54.5","16.9","44.0","49.6","89.50","43.1"
"ATL","ATL @ IND","04/12/2017","L","48","94.5","115.6","-21.1","63.3","0.95","15.8","24.4","75.0","49.4","22.0","49.3","53.5","90.50","38.9"
"BOS","BOS vs. MIL","04/12/2017","W","48","115.5","97.9","17.5","75.6","3.88","21.7","29.6","75.0","51.0","8.2","52.2","55.2","96.50","58.3"
"HOU","HOU vs. MIN","04/12/2017","W","48","121.8","116.8","5.0","82.2","3.70","23.9","30.4","72.3","49.5","9.9","56.2","57.6","101.00","49.8"
"LAL","LAL @ GSW","04/12/2017","L","48","90.4","103.8","-13.4","56.1","1.28","16.7","21.8","64.2","42.6","17.3","46.2","47.4","104.50","38.9"
"OKC","OKC @ MIN","04/11/2017","W","48","108.7","106.5","2.2","59.5","1.29","16.1","49.0","69.8","59.6","18.5","47.1","51.5","92.00","50.6"
"ATL","ATL vs. CHA","04/11/2017","W","48","113.2","83.5","29.7","73.2","1.76","22.4","35.7","66.1","53.8","18.7","56.3","59.2","91.00","72.8"
"NOP","NOP @ LAL","04/11/2017","L","48","94.1","106.9","-12.8","78.4","1.71","21.2","15.2","77.1","46.8","16.7","51.3","54.7","101.50","45.3"
