"Team","Match Up","Game Date","W/L","MIN","OffRtg","DefRtg","NetRtg","AST%","AST/TO","ASTRatio","OREB%","DREB%","REB%","TOV%","eFG%","TS%","PACE","PIE"
"NYK","NYK vs. ATL","10/29/2015","L","48","99.0","109.8","-10.8","55.3","1.00","14.4","42.1","76.7","57.0","20.6","44.1","49.4","102.00","41.0"
"IND","IND vs. MEM","10/29/2015","L","48","108.4","116.7","-8.2","62.2","1.15","17.6","31.1","64.4","47.8","21.1","55.1","58.2","95.50","43.2"
"DAL","DAL @ LAC","10/29/2015","L","48","87.1","103.0","-15.8","62.9","1.69","15.8","25.0","77.8","49.2","12.9","39.2","42.5","101.00","37.8"
"ATL","ATL vs. CHA","10/30/2015","W","48","99.0","94.9","4.0","63.9","1.53","17.6","19.6","68.5","44.8","15.3","48.2","52.3","98.50","52.5"
"LAL","LAL @ SAC","10/30/2015","L","48","102.7","121.1","-18.4","48.8","1.05","14.2","21.6","62.7","42.2","17.1","52.2","56.5","110.00","40.1"
"SAC","SAC vs. LAL","10/30/2015","W","48","121.1","102.7","18.4","50.0","1.86","16.9","37.3","78.4","57.8","12.8","54.5","57.8","110.00","59.9"
"ORL","ORL vs. OKC","10/30/2015","L","58","108.8","111.2","-2.4","53.2","1.39","14.7","31.7","62.5","47.2","14.4","50.0","55.4","103.45","49.2"
"TOR","TOR @ BOS","10/30/2015","W","48","103.7","95.4","8.3","63.9","1.05","16.1","27.1","77.6","54.7","20.2","50.6","58.0","108.50","56.9"
"CHI","CHI @ DET","10/30/2015","L","53","87.0","89.9","-2.9","52.9","0.90","13.2","20.8","63.4","45.2","18.5","44.6","49.2","98.26","51.9"
"GSW","GSW @ HOU","10/30/2015","W","48","110.9","91.1","19.8","60.5","3.25","18.6","24.1","71.4","48.2","7.9","51.1","53.8","101.00","61.3"
"POR","POR @ PHX","10/30/2015","L","48","87.6","102.8","-15.2","50.0","0.74","12.8","20.0","64.0","41.0","21.9","44.8","48.7","106.00","31.0"
"BKN","BKN @ SAS","10/30/2015","L","48","78.9","106.3","-27.3","54.8","1.13","14.7","8.2","67.4","36.8","15.8","43.5","44.9","95.50","31.1"
"MIA","MIA @ CLE","10/30/2015","L","48","100.0","110.9","-10.9","63.6","1.62","17.2","21.7","67.3","45.3","14.1","46.8","53.1","92.00","44.9"
"BOS","BOS vs. TOR","10/30/2015","L","48","95.4","103.7","-8.3","71.9","1.35","16.1","22.4","72.9","45.3","15.7","41.8","50.0","108.50","43.1"
"PHI","PHI vs. UTA","10/30/2015","L","48","78.0","108.8","-30.8","78.9","0.79","13.0","20.8","66.0","44.6","20.9","34.9","44.8","91.00","26.5"
"SAS","SAS vs. BKN","10/30/2015","W","48","106.3","78.9","27.3","57.5","1.28","17.2","32.6","91.8","63.2","18.8","51.7","55.6","95.50","68.9"
"CHA","CHA @ ATL","10/30/2015","L","48","94.9","99.0","-4.0","63.9","1.15","16.8","31.5","80.4","55.2","20.2","47.7","50.1","98.50","47.5"
"MIL","MIL vs. WAS","10/30/2015","L","48","111.9","118.0","-6.1","78.6","2.06","23.1","23.3","72.2","45.6","15.8","55.5","59.9","100.50","46.8"
"PHX","PHX vs. POR","10/30/2015","W","48","102.8","87.6","15.2","45.9","0.85","12.1","36.0","80.0","59.0","18.7","47.0","54.2","106.00","69.0"
"MIN","MIN @ DEN","10/30/2015","W","48","97.9","78.8","19.2","60.0","1.00","14.6","18.2","64.2","45.9","18.6","43.7","53.3","98.00","71.1"
"DET","DET vs. CHI","10/30/2015","W","53","89.9","87.0","2.9","46.2","1.20","11.8","36.6","79.2","54.8","13.8","40.4","42.1","98.26","48.1"
"WAS","WAS @ MIL","10/30/2015","W","48","118.0","111.9","6.1","71.4","1.19","18.7","27.8","76.7","54.4","21.0","60.3","67.5","100.50","53.2"
"CLE","CLE vs. MIA","10/30/2015","W","48","110.9","100.0","10.9","64.1","2.27","18.9","32.7","78.3","54.7","12.0","48.8","53.5","92.00","55.1"
"HOU","HOU vs. GSW","10/30/2015","L","48","91.1","110.9","-19.8","63.3","1.12","14.1","28.6","75.9","51.8","16.8","39.6","47.0","101.00","38.7"
"OKC","OKC @ ORL","10/30/2015","W","58","111.2","108.8","2.4","38.0","0.90","11.4","37.5","68.3","52.8","16.8","49.1","54.8","103.45","50.8"
"UTA","UTA @ PHI","10/30/2015","W","48","108.8","78.0","30.8","52.8","2.38","15.0","34.0","79.2","55.4","8.8","44.9","50.0","91.00","73.5"
"DEN","DEN vs. MIN","10/30/2015","L","48","78.8","97.9","-19.2","51.7","1.00","10.9","35.8","81.8","54.1","15.2","33.2","37.6","98.00","28.9"
"NOP","NOP vs. GSW","10/31/2015","L","48","113.2","126.4","-13.2","47.8","1.38","15.2","32.1","87.8","55.7","15.1","50.0","54.5","106.00","42.1"
"IND","IND vs. UTA","10/31/2015","L","48","81.7","103.2","-21.5","35.7","0.42","8.8","24.4","56.9","41.7","25.8","42.9","48.0","93.50","34.7"
"MEM","MEM vs. BKN","10/31/2015","W","48","111.0","98.9","12.1","76.5","2.89","20.2","24.0","77.3","48.9","9.9","48.1","54.7","91.50","55.4"
"UTA","UTA @ IND","10/31/2015","W","48","103.2","81.7","21.5","38.5","0.88","11.6","43.1","75.6","58.3","18.1","47.7","50.6","93.50","65.3"
"POR","POR vs. PHX","10/31/2015","L","48","90.0","102.0","-12.0","60.6","1.25","15.3","23.1","71.4","48.1","16.0","46.8","49.3","99.50","44.6"
"GSW","GSW @ NOP","10/31/2015","W","48","126.4","113.2","13.2","56.5","2.60","19.1","12.2","67.9","44.3","9.4","64.9","67.4","106.00","57.9"
"WAS","WAS vs. NYK","10/31/2015","L","48","103.8","109.3","-5.6","44.7","0.89","12.1","33.9","68.1","49.5","17.9","45.6","52.6","106.50","44.4"
"LAC","LAC vs. SAC","10/31/2015","W","48","107.5","104.8","2.7","64.1","1.47","17.9","25.0","63.5","47.7","16.0","53.9","59.2","105.00","59.7"
"SAC","SAC @ LAC","10/31/2015","L","48","104.8","107.5","-2.7","46.5","1.43","13.6","36.5","75.0","52.3","13.5","45.5","48.7","105.00","40.3"
"PHX","PHX @ POR","10/31/2015","W","48","102.0","90.0","12.0","41.0","1.23","12.3","28.6","76.9","51.9","13.1","47.3","50.0","99.50","55.4"
"BKN","BKN @ MEM","10/31/2015","L","48","98.9","111.0","-12.1","55.3","1.75","17.1","22.7","76.0","51.1","13.0","50.0","52.3","91.50","44.6"
"NYK","NYK @ WAS","10/31/2015","W","48","109.3","103.8","5.6","51.2","1.11","14.9","31.9","66.1","50.5","17.8","52.9","58.5","106.50","55.6"
"SAS","SAS @ BOS","11/01/2015","W","48","92.2","86.1","6.1","61.1","1.10","15.9","32.0","71.4","54.0","19.4","46.4","50.5","102.00","62.1"
"CHA","CHA vs. ATL","11/01/2015","L","48","95.8","98.9","-3.1","84.4","2.25","20.1","22.2","76.9","49.1","12.5","45.3","49.7","95.50","49.9"
"ATL","ATL @ CHA","11/01/2015","W","48","98.9","95.8","3.1","59.5","2.00","17.1","23.1","77.8","50.9","11.6","46.0","49.9","95.50","50.1"
"TOR","TOR vs. MIL","11/01/2015","W","48","116.5","95.6","20.9","53.7","1.57","16.2","46.2","77.5","59.8","15.4","51.7","53.6","91.00","56.6"
"MIL","MIL @ TOR","11/01/2015","L","48","95.6","116.5","-20.9","72.4","1.17","17.4","22.5","53.8","40.2","19.8","45.7","54.7","91.00","43.4"
"DAL","DAL @ LAL","11/01/2015","W","48","105.1","95.9","9.2","70.0","2.55","20.4","22.4","76.8","51.4","11.2","52.3","54.8","97.50","59.1"
"OKC","OKC vs. DEN","11/01/2015","W","48","124.5","97.9","26.6","71.1","1.68","22.2","44.2","66.1","56.9","20.2","59.9","62.3","94.50","67.1"
"CHI","CHI vs. ORL","11/01/2015","W","48","93.9","87.9","6.0","69.7","1.53","16.9","29.6","66.7","48.6","15.3","42.0","47.6","98.50","57.2"
"BOS","BOS vs. SAS","11/01/2015","L","48","86.1","92.2","-6.1","60.0","1.31","15.0","28.6","68.0","46.0","15.8","38.8","41.8","102.00","37.9"
"HOU","HOU @ MIA","11/01/2015","L","48","91.8","113.5","-21.8","62.5","1.11","16.0","20.8","70.2","45.3","18.6","46.8","51.2","96.50","35.9"
"ORL","ORL @ CHI","11/01/2015","L","48","87.9","93.9","-6.0","60.0","1.24","15.2","33.3","70.4","51.4","17.2","42.8","44.6","98.50","42.8"
"LAL","LAL vs. DAL","11/01/2015","L","48","95.9","105.1","-9.2","58.1","1.50","14.2","23.2","77.6","48.6","12.4","42.4","47.8","97.50","40.9"
"MIA","MIA vs. HOU","11/01/2015","W","48","113.5","91.8","21.8","57.1","1.60","17.9","29.8","79.2","54.7","15.6","54.1","57.2","96.50","64.1"
"DEN","DEN @ OKC","11/01/2015","L","48","97.9","124.5","-26.6","57.1","1.54","14.9","33.9","55.8","43.1","13.7","42.9","46.3","94.50","32.9"
"GSW","GSW vs. MEM","11/02/2015","W","48","117.8","69.0","48.8","74.4","2.29","22.2","26.1","77.0","57.5","13.9","57.7","61.2","100.50","84.0"
"MEM","MEM @ GSW","11/02/2015","L","48","69.0","117.8","-48.8","80.8","1.75","15.3","23.0","73.9","42.5","12.0","28.6","32.9","100.50","16.0"
"HOU","HOU vs. OKC","11/02/2015","W","48","105.8","101.0","4.8","53.7","1.83","16.2","22.6","64.6","42.6","11.5","51.1","54.0","104.00","53.0"
"CLE","CLE @ PHI","11/02/2015","W","48","110.3","105.3","5.0","66.7","1.75","20.6","29.3","72.5","53.3","16.5","56.8","59.6","96.00","57.1"
"NYK","NYK vs. SAS","11/02/2015","L","48","91.3","102.2","-10.9","53.1","1.70","13.3","32.2","74.4","50.0","10.9","38.2","42.8","92.00","39.2"
"POR","POR @ MIN","11/02/2015","W","48","105.0","101.0","4.0","43.9","1.13","13.4","31.4","75.0","52.5","15.8","51.1","54.2","100.50","48.6"
"PHX","PHX @ LAC","11/02/2015","L","48","97.0","104.1","-7.1","63.9","2.30","16.3","32.3","91.3","56.8","10.1","41.3","44.8","98.50","44.1"
